2022,2021,Change,Company,Ownership,Industry,Rs cr,YoY change %,Rs cr,YoY change %,Rs cr,Rank,YoY change %,% of total income,Rs cr,% of Ebitda,Rs cr,Rs cr,(x),Rs cr,Rank,YoY change %,Rs cr,Rank,(%),(%),(in nos),Rank,RS Crore,(%)
128,NAP,NEW,"Skoda Auto Volkswagen India
                                                      ^^ ^",MNC,Auto,14446,74.07,12410,82.8,208,382,-73.08,1.44,131,NAP,931,2187,0.45,9433,218,37.44,4874,226,3.28,5.14,NAVL,NAP,NAP,NAP
129,113,-16,Britannia Industries,Nusli Wadia,FMCG,14434,7.02,14136,7.61,1525,114,-18.19,10.56,144,6.56,185,2481,0.97,5119,295,-10.97,2558,319,49.66,41.14,4467,184,85575,4.1
130,143,13,Bengal & Assam Company,JK Organisation,Non-banking Financial Services,14344,34.37,13609,30.37,628,230,23.48,4.38,449,NAP,339,5527,1.22,11660,191,10.78,4545,234,7.41,9.72,NAVL,NAP,2869,47.06
131,133,2,Havells India,Anil Rai Gupta,Consumer Durables,14318,28.12,13938,33.29,1196,136,14.57,8.36,67,3.77,2548,438,0.07,6704,260,14.34,6003,196,21.41,26.63,5970,153,78741,-5.28
132,104,-28,"Hongkong & Shanghai Banking Corporation
                                                      ^^ ^",MNC,Banking Services,14301,-1.01,13130,7.75,3191,68,-12.14,22.31,4371,NAP,50884,197584,0,247528,31,7.56,32226,57,10.43,1.34,NAVL,NAP,NAP,NAP
133,149,16,Siemens,MNC,Capital Goods,14209,39.9,13639,37.13,1090,149,41.86,7.67,25,1.62,5159,4,0,11177,195,11.76,10349,139,10.99,14.03,8608,117,88836,31.35
134,155,21,"Rain Industries
                                                      (**)",Jagan Mohan Reddy,Basic Materials,13929,42.67,13228,40.24,580,242,3.94,4.17,479,20.29,1384,8489,1.39,16198,158,0.3,6109,195,11.91,11,160,395,6341,-23.51
135,118,-17,KEC International,RPG Group,Capital Goods,13897,5.76,13742,4.79,332,328,-39.92,2.39,413,43.13,262,3065,0.85,6699,261,23.15,3620,272,10.13,14.09,6038,152,11068,-5.09
136,137,1,Quess Corp,Fairfax%comma% Ajit Isaac,Services,13788,26.33,13692,26.34,241,364,316.78,1.75,82,14.73,512,915,0.38,3725,352,2.7,2438,325,10.5,12.33,3022,236,10000,-37.44
137,NAP,NEW,"Tata Projects
                                                      ^",Tata Group,Infrastructure,13755,11.97,13679,12.24,-620,476,0,NAP,515,NAP,1492,3684,1.83,5753,276,25.37,2018,362,NAP,-4.6,NAVL,NAP,NAP,NAP
138,139,1,Jindal Saw,Savitri Devi Jindal,Iron & Steel,13741,26.43,13298,24.71,412,295,29.14,3,460,32.82,673,6031,0.82,13059,176,8.16,7364,168,5.24,8.29,NAVL,NAP,2925,-30.15
139,166,27,Uflex,Ashok Chaturvedi,Packaging,13601,52.01,13127,47.68,1098,147,30.3,8.08,322,15.12,588,4787,0.71,11583,192,19.51,6696,178,17.95,16.03,6910,140,4357,22.15
140,123,-17,"CESC
                                                      (#)",RP-Sanjiv Goenka Group,Power,13557,10.24,12544,7.84,1358,124,2.04,10.02,1248,41.11,3249,14961,1.44,30601,120,4.74,10396,137,13.85,10.73,6920,139,10759,-8.22
141,141,0,Tata Chemicals,Tata Group,Basic Materials,13497,24.55,12877,21.84,1258,129,390.55,9.32,303,13.2,1310,7025,0.38,27875,123,16.89,18253,88,8.7,7.94,1679,314,24589,26.94
142,150,8,"BASF India
                                                      ^^",MNC,Basic Materials,13415,32.72,13100,37.05,595,238,7.64,4.43,17,1.92,126,122,0.05,2522,403,17.66,2336,335,28.86,33.32,1327,337,12370,-10.59
143,NAP,NEW,"John Deere India
                                                      ^",MNC,Auto,13270,17.76,12678,16.67,955,167,-14.88,7.19,235,15.1,726,4564,0.83,10436,206,41.67,5517,208,18.86,17.19,NAVL,NAP,NAP,NAP
144,169,25,Kama Holdings,Arun Bharat Ram,Textile & Garments,13243,51.48,12503,47.65,957,166,57.99,7.23,115,NAP,537,3651,0.75,12564,182,18.6,4836,227,43.97,34.5,NAVL,NAP,7081,25.1
145,121,-24,NLC India,GoI,Power,13161,5.1,12088,21.62,1093,148,-14.77,8.3,984,24.93,769,22086,1.56,43695,101,-6.56,14189,106,6.06,7.37,4053,198,9546,25.46
146,170,24,APL Apollo Tubes,Rahul Gupta,Iron & Steel,13041,51.67,13063,53.69,557,249,54.73,4.27,44,4.7,376,581,0.26,3138,373,28.29,2264,341,31.27,33.42,1195,343,23888,30.12
147,115,-32,"Standard Chartered Bank
                                                      ^^ ^",MNC,Banking,13034,-2.21,10627,-1.28,4469,52,46.07,34.29,3133,NAP,35543,118467,0,176178,42,0.32,32364,56,14.42,2.54,NAVL,NAP,NAP,NAP
148,153,5,"Godrej & Boyce Mfg.
                                                      ^",Godrej Group,Consumer durables,13022,30.31,12523,23.5,318,334,337.85,2.44,197,24.72,541,3628,0.34,14756,161,5.87,10753,133,1.6,2.78,NAVL,NAP,NAP,NAP
149,163,14,Polycab India,Jaisinghani family,Consumer durables,12858,44.67,12204,38.8,909,175,3,7.07,35,2.79,407,118,0.02,5734,277,12.11,5544,207,17.82,22.64,4431,187,36378,19.91
150,221,71,Tube Investments of India,Murugappa Group,Diversified,12791,104.36,12525,105.9,769,204,179.32,6.01,75,NAP,573,871,0.28,4642,311,-1.35,3071,294,36.82,29.53,3107,230,36754,90.18
151,156,5,"Honda Cars India
                                                      ^^ ^",MNC,Auto,12760,31.77,12443,32.61,230,368,0,1.8,172,17.67,1673,2615,5.41,3733,350,1.24,483,467,23.08,11.17,NAVL,NAP,NAP,NAP
152,126,-26,Tata Consumer Products,Tata Group,FMCG,12605,5.42,12425,7.1,936,171,9.23,7.42,73,4.37,2600,1412,0.09,17988,150,2.51,15120,101,7.28,9.2,2932,239,70457,-5.91
153,136,-17,Adani Transmission,Adani Group,Power,12544,13.6,11258,13.41,1205,134,-1.59,9.6,2365,56.23,1493,29902,3.02,42455,103,9.34,9913,141,13.12,10.28,5105,173,281121,89.77
154,131,-23,Godrej Consumer Products,Godrej Group,FMCG,12483,11.66,12277,11.31,1783,96,3.64,14.29,122,5.22,1108,1704,0.15,13370,171,17.03,11556,129,16.99,18.37,2601,262,86577,-14.95
155,130,-25,Glenmark Pharmaceuticals,Saldanha family,"Drugs, Pharma",12483,11.18,12305,12.44,942,169,-2.92,7.54,298,14.48,1412,3962,0.44,13553,168,10.66,9087,147,14.36,15.77,11550,99,12299,-20.83
156,147,-9,Bosch,MNC,Auto Ancillaries,12453,20.06,11782,21.26,1218,131,152.76,9.78,29,1.98,1706,73,0.01,11116,197,8.01,10680,134,11.88,14.28,6041,151,46840,-4.87
157,162,5,JK Tyre & Industries,JK Organisation,Tyres & Tubes,12374,36.29,11983,31.65,210,381,-34.23,1.7,419,39.05,176,5220,1.83,8924,223,7.58,2848,302,7.26,8.56,2161,289,3232,21.1
158,128,-30,Muthoot Finance,Muthoot family,NBFC,12237,5.77,12185,5.64,4017,59,5.58,32.82,4268,NAP,10315,54569,2.9,73707,75,11.38,18786,86,23.46,13.89,26716,38,50095,-29.01
159,154,-5,Mphasis,MNC,Infotech,12122,23,11961,23.03,1431,123,17.59,11.8,74,3.51,949,527,0.08,8302,228,7.33,6943,176,21.25,24.79,14098,87,50893,-39.14
160,144,-16,Dalmia Bharat,Dalmia Bharat Group,Diversified,11542,12.81,11286,11.63,1144,145,-2.31,9.91,202,8.41,160,3176,0.2,19275,146,13.03,15687,98,8.2,7.49,5652,156,30432,-20.08
161,164,3,Kalyan Jewellers India,T.S. Kalyanaraman,Gems & jewellery,11439,27.28,10818,26.18,224,371,0,1.96,360,42.27,777,4029,1.28,7202,248,3.74,3137,291,7.51,9.32,7803,128,7253,33.88
162,210,48,Bharat Forge,Baba Kalyani,Auto Ancillaries,11424,75.08,10461,65.1,1082,150,0,9.47,160,8.45,603,5972,0.91,13107,174,16.46,6571,182,15.42,11.01,4079,196,33229,6.6
163,159,-4,Alkem Laboratories,Singh family,"Drugs, Pharma",11332,20.15,10634,19.96,1646,108,3.82,14.52,52,2.57,2579,2668,0.31,11856,186,23.38,8638,151,20.98,18,16966,74,39245,-15.32
164,180,16,NCC,AVS Raju & Associates,"Engg, Construction",11308,41.04,11138,40.11,482,271,79.8,4.27,478,46.7,601,1302,0.23,7282,245,-4.29,5603,206,6.29,12.74,5109,172,4146,7.23
165,151,-14,Dabur India,Burman family,FMCG,11290,11.85,10889,13.88,1739,98,2.71,15.4,39,1.78,570,1030,0.12,9520,217,15.06,8381,153,21.72,26.05,8562,119,97846,-6.44
166,176,10,HCC,Ajit Gulabchand,Construction,11169,32.7,10670,29.35,400,298,0,3.58,1030,87.88,1542,2018,0,2912,384,-43.52,-785,484,37.97,23.85,1105,352,2138,48.14
167,160,-7,Eicher Motors,Vikram Lal,Auto,10947,16.33,10298,18.09,1677,106,24.48,15.32,19,0.86,2722,108,0.01,13070,175,10,12608,114,13.94,17.8,4784,178,77663,51.22
168,213,45,Dixon Technologies,Sunil Vachani,Consumer Durables (Ancillaries),10811,68.05,10697,65.89,190,389,19.01,1.76,49,12.86,182,667,0.67,1693,457,62.59,997,442,21.95,22.24,19580,63,25862,-14.85
