2022,2021,Change,Company,Ownership,Industry,Rs cr,YoY change %,Rs cr,YoY change %,Rs cr,Rank,YoY change %,% of total income,Rs cr,% of Ebitda,Rs cr,Rs cr,(x),Rs cr,Rank,YoY change %,Rs cr,Rank,(%),(%),(in nos),Rank,RS Crore,(%)
248,NAP,NEW,Delhivery,Diversified,7041,83.45,6882,88.74,-1011,482,0,NAP,100,NAP,229,1102,0.18,7097,254,78.52,5957,197,NAP,NAP,NAVL,NAP,40122,-35.91,
249,231,-18,IIFL Finance,Nirmal Jain & Associates,Diversified financial services,7006,16.97,6970,16.79,1188,138,56.28,16.95,3016,NAP,8157,36086,5.58,42556,102,12.06,6464,184,20.05,11.31,15306,83,12398,24.53
250,196,-54,Hudco,GoI,NBFC,6998,-3.85,6986,-3.86,1716,101,8.74,24.53,4533,NAP,644,61503,4.25,75970,72,2.43,14467,103,12.41,9.16,703,367,7473,-7.67
251,295,44,Deepak Nitrite,C.K. Mehta,Basic Materials,6941,58.07,6802,56.02,1067,155,37.49,15.37,36,2.26,42,315,0.09,3675,357,24.42,3338,283,37.52,44.37,1601,321,29051,0.84
252,215,-37,"AU Small Finance Bank
                                                      ^^",Sanjay Agarwal,Small finance bank,6915,8.55,5922,19.63,1130,146,-3.49,16.34,2688,NAP,5929,58575,0,69078,79,33.89,7514,167,16.39,1.87,27817,32,39283,-2.25
253,245,-8,"Culver Max Entertainment
                                                      ^",MNC,Media & Entertainment,6868,20.03,6746,20.52,938,170,61.02,13.65,20,1.48,2913,0,0,7686,238,12.28,7224,170,13.89,17.79,NAVL,NAP,NAP,NAP
254,197,-57,Prestige Estates Projects,Irfan Razack,Real Estate,6843,-19.39,6390,-11.77,1150,144,-58.67,16.81,555,36.61,2171,7250,0.78,17098,154,27.6,9095,146,6.55,8.44,1124,349,18180,1.66
255,242,-13,RPSG Ventures (#),RP-Sanjiv Goenka Group,IT services,6792,19.9,6670,19.12,131,408,0,1.93,209,23.65,232,2807,1.11,10865,199,108.1,2524,321,14.46,10.85,NAVL,NAP,1615,-37.33
256,373,117,Raymond,Gautam Singhania,6684,113.02,6179,79.27,260,357,0,3.9,228,50.73,336,2327,0.99,4924,302,3.41,2359,332,16.53,12.73,6270,147,5597,157.71,
257,280,23,Cummins India,MNC,Capital Goods,6676,40.03,6171,41.53,934,172,47.04,13.99,12,1.37,1427,418,0.08,5674,279,18.36,5145,220,16.61,20.31,3644,209,29164,50.23
258,226,-32,Welspun Corp,B.K. Goenka,Iron & Steel,6603,-9.12,6505,-9.05,439,285,-42.83,6.65,102,21.87,701,1655,0.34,6733,259,16.78,4428,237,4.95,6.59,1452,328,5169,72.6
259,272,13,Team Lease Services,Sabharwal%comma% Reddy,Recruitment Consulting,6504,32.3,6480,32.74,38,441,-50.41,0.59,4,6,293,60,0.09,884,491,14.54,693,459,15.16,14.43,1138,346,6301,-38.94
260,262,2,Ashoka Buildcon,Parakh%comma% Katariya families,"Engg, Construction",6484,26.17,5946,19.11,779,200,181.86,12.01,1004,57.82,729,3633,2.63,12637,181,18.69,1381,414,43.4,13.87,2030,297,2437,-28.58
261,283,22,Coforge,MNC,Infotech,6484,38.09,6432,37.94,662,221,45.24,10.21,65,5.9,454,490,0.18,3758,348,40.81,2733,309,27.49,29.28,20598,59,26054,-24.13
262,252,-10,Prism Johnson,Rajan Raheja Group,Cement,6457,18.64,6306,12.87,92,422,-46.41,1.42,193,36.32,374,1741,1.32,3966,339,-1.22,1323,419,2.91,7.1,5195,168,6158,0.82
263,307,44,Suzlon Energy,Tulsi Tanti,Capital Goods,6447,52.75,6582,96.72,-200,464,0,NAP,735,82.58,500,4242,0,3056,377,-15.82,-3526,493,NAP,NAP,1592,322,8361,22.19
